CITY1,CITY2,ANNUAL_PAX,DAILY_AVG
DELHI,MUMBAI,6850869,9384.752055
BENGALURU,DELHI,4681042,6412.386301
BENGALURU,MUMBAI,4114574,5636.40274
DELHI,HYDERABAD,3295918,4514.956164
DELHI,PUNE,2924045,4005.541096
DELHI,KOLKATA,2770386,3795.049315
AHMEDABAD,DELHI,2537042,3475.4
CHENNAI,DELHI,2452761,3359.946575
HYDERABAD,MUMBAI,2353279,3223.669863
BENGALURU,KOLKATA,2326980,3187.643836
BENGALURU,HYDERABAD,2293602,3141.920548
KOLKATA,MUMBAI,2166364,2967.621918
CHENNAI,MUMBAI,2112927,2894.420548
AHMEDABAD,MUMBAI,2101443,2878.689041
BENGALURU,PUNE,1881109,2576.861644
CHENNAI,HYDERABAD,1573825,2155.924658
DELHI,GUWAHATI,1538643,2107.730137
BENGALURU,KOCHI,1485148,2034.449315
BENGALURU,CHENNAI,1474948,2020.476712
DELHI,LUCKNOW,1439073,1971.332877
DELHI,PATNA,1351643,1851.565753
JAIPUR,MUMBAI,1205825,1651.815068
HYDERABAD,KOLKATA,1175993,1610.949315
KOCHI,MUMBAI,1170857,1603.913699
GUWAHATI,KOLKATA,1105406,1514.254795
CHENNAI,KOLKATA,1048548,1436.367123
DELHI,KOCHI,1007567,1380.228767
AHMEDABAD,BENGALURU,980653,1343.360274
LUCKNOW,MUMBAI,949271,1300.371233
HYDERABAD,VISAKHAPATNAM,923753,1265.415068
BENGALURU,GUWAHATI,771957,1057.475342
BENGALURU,LUCKNOW,743982,1019.153425
BENGALURU,JAIPUR,734649,1006.368493
HYDERABAD,KOCHI,719748,985.9561644
CHENNAI,PUNE,702010,961.6575342
CHENNAI,KOCHI,673846,923.0767123
AHMEDABAD,PUNE,644110,882.3424658
HYDERABAD,PUNE,620603,850.1410959
BHOPAL,DELHI,614756,842.1315068
DELHI,JAIPUR,598337,819.639726
HYDERABAD,JAIPUR,566528,776.0657534
BENGALURU,PATNA,563343,771.7027397
BENGALURU,VISAKHAPATNAM,521945,714.9931507
JAIPUR,KOLKATA,516730,707.8493151
DELHI,VISAKHAPATNAM,511843,701.1547945
AHMEDABAD,HYDERABAD,505243,692.1136986
HYDERABAD,LUCKNOW,483808,662.7506849
KOLKATA,PUNE,458720,628.3835616
AHMEDABAD,CHENNAI,453279,620.930137
AHMEDABAD,KOLKATA,425449,582.8068493
GUWAHATI,MUMBAI,385008,527.4082192
MUMBAI,PATNA,368143,504.3054795
BHOPAL,MUMBAI,350421,480.0287671
HYDERABAD,PATNA,341579,467.9164384
CHENNAI,GUWAHATI,341217,467.4205479
KOLKATA,PATNA,326610,447.4109589
AHMEDABAD,LUCKNOW,306838,420.3260274
JAIPUR,PUNE,284415,389.609589
CHENNAI,VISAKHAPATNAM,282652,387.1945205
GUWAHATI,HYDERABAD,269327,368.9410959
BENGALURU,BHOPAL,260809,357.2726027
KOLKATA,LUCKNOW,256844,351.8410959
CHENNAI,JAIPUR,244666,335.1589041
LUCKNOW,PUNE,239295,327.8013699
MUMBAI,VISAKHAPATNAM,232195,318.0753425
AHMEDABAD,JAIPUR,229341,314.1657534
KOLKATA,VISAKHAPATNAM,171631,235.1109589
KOCHI,PUNE,157978,216.4082192
AHMEDABAD,PATNA,157489,215.7383562
AHMEDABAD,KOCHI,139753,191.4424658
CHENNAI,PATNA,124548,170.6136986
PATNA,PUNE,123538,169.230137
GUWAHATI,PUNE,119625,163.869863
CHENNAI,LUCKNOW,104996,143.830137
KOCHI,KOLKATA,103948,142.3945205
GUWAHATI,LUCKNOW,101488,139.0246575
LUCKNOW,PATNA,96632,132.3726027
AHMEDABAD,BHOPAL,96266,131.8712329
GUWAHATI,JAIPUR,84995,116.4315068
JAIPUR,LUCKNOW,83510,114.3972603
BHOPAL,HYDERABAD,60528,82.91506849
BHOPAL,PUNE,49159,67.34109589
AHMEDABAD,GUWAHATI,36777,50.37945205
BHOPAL,LUCKNOW,28389,38.8890411
BHOPAL,JAIPUR,26654,36.51232877
PUNE,VISAKHAPATNAM,23555,32.26712329
AHMEDABAD,VISAKHAPATNAM,12560,17.20547945
GUWAHATI,PATNA,12096,16.56986301
JAIPUR,KOCHI,11272,15.44109589
MUMBAI,PUNE,10222,14.00273973
KOCHI,LUCKNOW,6427,8.804109589
GUWAHATI,KOCHI,2811,3.850684932
KOCHI,PATNA,2801,3.836986301
