source_node_id,target_node_id,raw_weekly_capacity,data_source
Delhi,Mumbai,560799.4,observed
Delhi,Kolkata,15108.7,observed
Delhi,Bengaluru,123200,override
Delhi,Chennai,73920,override
Delhi,Hyderabad,98560,override
Delhi,Ahmedabad,15930.2,observed
Delhi,Pune,6452.3,observed
Delhi,Lucknow,469526.8,observed
Delhi,Kochi,3636.7,observed
Delhi,Jaipur,189141.9,observed
Delhi,Patna,124333.3,observed
Delhi,Visakhapatnam,85.8,observed
Delhi,Bhopal,438907.1,observed
Delhi,Guwahati,6381.6,observed
Mumbai,Delhi,629460.4,observed
Mumbai,Kolkata,3734.7,observed
Mumbai,Bengaluru,172480,override
Mumbai,Chennai,98560,override
Mumbai,Hyderabad,772.1,observed
Mumbai,Ahmedabad,264191.6,observed
Mumbai,Pune,555639.2,observed
Mumbai,Lucknow,2477.2,observed
Mumbai,Kochi,6804.6,observed
Mumbai,Jaipur,11512.3,observed
Mumbai,Patna,20350,observed
Mumbai,Visakhapatnam,720,observed
Mumbai,Bhopal,117899.1,observed
Mumbai,Guwahati,7.3,gravity
Kolkata,Delhi,14798,observed
Kolkata,Mumbai,3974.1,observed
Kolkata,Bengaluru,4872.9,observed
Kolkata,Chennai,587.3,observed
Kolkata,Hyderabad,615.7,observed
Kolkata,Ahmedabad,5463.5,observed
Kolkata,Pune,2129.5,observed
Kolkata,Lucknow,20661.7,observed
Kolkata,Kochi,285.5,observed
Kolkata,Jaipur,5234.9,observed
Kolkata,Patna,112355.9,observed
Kolkata,Visakhapatnam,110212.2,observed
Kolkata,Bhopal,1749.5,observed
Kolkata,Guwahati,55764.5,observed
Bengaluru,Delhi,123200,override
Bengaluru,Mumbai,172480,override
Bengaluru,Kolkata,4864,observed
Bengaluru,Chennai,165616.8,observed
Bengaluru,Hyderabad,94488,observed
Bengaluru,Ahmedabad,1092.5,observed
Bengaluru,Pune,45345.9,observed
Bengaluru,Lucknow,17.2,gravity
Bengaluru,Kochi,35533.2,observed
Bengaluru,Jaipur,14.4,gravity
Bengaluru,Patna,16.6,gravity
Bengaluru,Visakhapatnam,39756,observed
Bengaluru,Bhopal,451.4,observed
Bengaluru,Guwahati,5.8,gravity
Chennai,Delhi,73920,override
Chennai,Mumbai,98560,override
Chennai,Kolkata,587.3,observed
Chennai,Bengaluru,175550.7,observed
Chennai,Hyderabad,14998.1,observed
Chennai,Ahmedabad,1980,observed
Chennai,Pune,23493.7,observed
Chennai,Lucknow,1289.4,observed
Chennai,Kochi,61190.7,observed
Chennai,Jaipur,12.2,gravity
Chennai,Patna,2948.2,observed
Chennai,Visakhapatnam,233418.6,observed
Chennai,Bhopal,53152.6,observed
Chennai,Guwahati,5.9,gravity
Hyderabad,Delhi,98560,override
Hyderabad,Mumbai,997.9,observed
Hyderabad,Kolkata,584.9,observed
Hyderabad,Bengaluru,102730.4,observed
Hyderabad,Chennai,15109.6,observed
Hyderabad,Ahmedabad,5569.8,observed
Hyderabad,Pune,79023.1,observed
Hyderabad,Lucknow,1059.5,observed
Hyderabad,Kochi,2328.4,observed
Hyderabad,Jaipur,19.3,gravity
Hyderabad,Patna,1547.1,observed
Hyderabad,Visakhapatnam,112519.2,observed
Hyderabad,Bhopal,125729,observed
Hyderabad,Guwahati,6,gravity
Ahmedabad,Delhi,16253.6,observed
Ahmedabad,Mumbai,295415.2,observed
Ahmedabad,Kolkata,1669.4,observed
Ahmedabad,Bengaluru,1210.6,observed
Ahmedabad,Chennai,2048.4,observed
Ahmedabad,Hyderabad,5708.8,observed
Ahmedabad,Pune,114040.2,observed
Ahmedabad,Lucknow,7587.2,observed
Ahmedabad,Kochi,5313.2,observed
Ahmedabad,Jaipur,18223.5,observed
Ahmedabad,Patna,933.5,observed
Ahmedabad,Visakhapatnam,1182.1,observed
Ahmedabad,Bhopal,43890.6,observed
Ahmedabad,Guwahati,5.1,gravity
Pune,Delhi,6596.2,observed
Pune,Mumbai,541885.9,observed
Pune,Kolkata,2129.5,observed
Pune,Bengaluru,49004.1,observed
Pune,Chennai,24958.7,observed
Pune,Hyderabad,82850.1,observed
Pune,Ahmedabad,126490,observed
Pune,Lucknow,17.8,gravity
Pune,Kochi,2448.5,observed
Pune,Jaipur,5716.2,observed
Pune,Patna,1913.2,observed
Pune,Visakhapatnam,10.2,gravity
Pune,Bhopal,61413.6,observed
Pune,Guwahati,5.1,gravity
Lucknow,Delhi,486361.6,observed
Lucknow,Mumbai,2376.8,observed
Lucknow,Kolkata,21807.3,observed
Lucknow,Bengaluru,17.2,gravity
Lucknow,Chennai,1225,observed
Lucknow,Hyderabad,1006.5,observed
Lucknow,Ahmedabad,7512.6,observed
Lucknow,Pune,17.8,gravity
Lucknow,Kochi,6.4,gravity
Lucknow,Jaipur,43433,observed
Lucknow,Patna,137156.8,observed
Lucknow,Visakhapatnam,7.6,gravity
Lucknow,Bhopal,185977.1,observed
Lucknow,Guwahati,4950.9,observed
Kochi,Delhi,3789.4,observed
Kochi,Mumbai,6939.4,observed
Kochi,Kolkata,285.5,observed
Kochi,Bengaluru,38422.8,observed
Kochi,Chennai,60655.3,observed
Kochi,Hyderabad,2555,observed
Kochi,Ahmedabad,5355.8,observed
Kochi,Pune,2392.6,observed
Kochi,Lucknow,6.4,gravity
Kochi,Jaipur,156.4,observed
Kochi,Patna,38.5,observed
Kochi,Visakhapatnam,5445.7,observed
Kochi,Bhopal,1960.7,observed
Kochi,Guwahati,4.3,gravity
Jaipur,Delhi,226944.2,observed
Jaipur,Mumbai,11826.8,observed
Jaipur,Kolkata,5510.4,observed
Jaipur,Bengaluru,14.4,gravity
Jaipur,Chennai,12.2,gravity
Jaipur,Hyderabad,19.3,gravity
Jaipur,Ahmedabad,8810.9,observed
Jaipur,Pune,5555.1,observed
Jaipur,Lucknow,41191.3,observed
Jaipur,Kochi,164.7,observed
Jaipur,Patna,21257.8,observed
Jaipur,Visakhapatnam,295.7,observed
Jaipur,Bhopal,75075.1,observed
Jaipur,Guwahati,4.9,gravity
Patna,Delhi,119683.5,observed
Patna,Mumbai,20444.3,observed
Patna,Kolkata,109503.6,observed
Patna,Bengaluru,16.6,gravity
Patna,Chennai,2784.8,observed
Patna,Hyderabad,1607,observed
Patna,Ahmedabad,800.4,observed
Patna,Pune,2153.9,observed
Patna,Lucknow,141123.3,observed
Patna,Kochi,38.5,observed
Patna,Jaipur,16133.9,observed
Patna,Visakhapatnam,582.7,observed
Patna,Bhopal,5479.4,observed
Patna,Guwahati,33243,observed
Visakhapatnam,Delhi,90.3,observed
Visakhapatnam,Mumbai,720,observed
Visakhapatnam,Kolkata,111295.5,observed
Visakhapatnam,Bengaluru,44020,observed
Visakhapatnam,Chennai,235556.3,observed
Visakhapatnam,Hyderabad,113978.3,observed
Visakhapatnam,Ahmedabad,1211.6,observed
Visakhapatnam,Pune,10.2,gravity
Visakhapatnam,Lucknow,7.6,gravity
Visakhapatnam,Kochi,5479.7,observed
Visakhapatnam,Jaipur,280.9,observed
Visakhapatnam,Patna,613.4,observed
Visakhapatnam,Bhopal,5623.5,observed
Visakhapatnam,Guwahati,215.4,observed
Bhopal,Delhi,464739.1,observed
Bhopal,Mumbai,122518,observed
Bhopal,Kolkata,1819.6,observed
Bhopal,Bengaluru,526.5,observed
Bhopal,Chennai,53435.8,observed
Bhopal,Hyderabad,127330.2,observed
Bhopal,Ahmedabad,44294.3,observed
Bhopal,Pune,56651.9,observed
Bhopal,Lucknow,185517.4,observed
Bhopal,Kochi,2220.7,observed
Bhopal,Jaipur,69542.2,observed
Bhopal,Patna,6141,observed
Bhopal,Visakhapatnam,5919.5,observed
Bhopal,Guwahati,4.6,gravity
Guwahati,Delhi,6733.1,observed
Guwahati,Mumbai,7.3,gravity
Guwahati,Kolkata,52510.1,observed
Guwahati,Bengaluru,5.8,gravity
Guwahati,Chennai,5.9,gravity
Guwahati,Hyderabad,6,gravity
Guwahati,Ahmedabad,5.1,gravity
Guwahati,Pune,5.1,gravity
Guwahati,Lucknow,4974.6,observed
Guwahati,Kochi,4.3,gravity
Guwahati,Jaipur,4.9,gravity
Guwahati,Patna,31097.2,observed
Guwahati,Visakhapatnam,194.4,observed
Guwahati,Bhopal,4.6,gravity
