source_node_id,target_node_id,haversine_distance_km,raw_daily_travelers,highway_class,road_class_multiplier,matrix_method
Delhi,Mumbai,1153.241,33468.62,trunk,1.35,integrated_meta_nh_radiation
Delhi,Kolkata,1317.754,11257.81,primary,1.15,integrated_meta_nh_radiation
Delhi,Bengaluru,1750.115,1358.6,trunk,1.35,integrated_meta_nh_radiation
Delhi,Chennai,1767.651,967.04,trunk,1.35,integrated_meta_nh_radiation
Delhi,Hyderabad,1266.531,6539.01,trunk,1.35,integrated_meta_nh_radiation
Delhi,Ahmedabad,777.408,62866.46,trunk,1.35,integrated_meta_nh_radiation
Delhi,Pune,1179.482,7924.63,none,0.85,integrated_meta_nh_radiation
Delhi,Lucknow,430.84,172341.08,trunk,1.35,integrated_meta_nh_radiation
Delhi,Kochi,2089.268,120.44,none,0.85,integrated_meta_nh_radiation
Delhi,Jaipur,237.533,290848.25,trunk,1.35,integrated_meta_nh_radiation
Delhi,Patna,866.693,26158.38,primary,1.15,integrated_meta_nh_radiation
Delhi,Visakhapatnam,1374.63,567.14,none,0.85,integrated_meta_nh_radiation
Delhi,Bhopal,606.159,42548.85,trunk,1.35,integrated_meta_nh_radiation
Delhi,Guwahati,1471.07,332.45,none,0.85,integrated_meta_nh_radiation
Mumbai,Delhi,1153.241,6517.45,trunk,1.35,integrated_meta_nh_radiation
Mumbai,Kolkata,1654.839,688.57,none,0.85,integrated_meta_nh_radiation
Mumbai,Bengaluru,845.318,15895.4,primary,1.15,integrated_meta_nh_radiation
Mumbai,Chennai,1033.099,4981.91,primary,1.15,integrated_meta_nh_radiation
Mumbai,Hyderabad,621.463,37061.41,primary,1.15,integrated_meta_nh_radiation
Mumbai,Ahmedabad,439.98,68396.36,trunk,1.35,integrated_meta_nh_radiation
Mumbai,Pune,120.152,300000,trunk,1.35,integrated_meta_nh_radiation
Mumbai,Lucknow,1194.675,704.94,none,0.85,integrated_meta_nh_radiation
Mumbai,Kochi,1080.186,1275.57,primary,1.15,integrated_meta_nh_radiation
Mumbai,Jaipur,920.742,2969.19,none,0.85,integrated_meta_nh_radiation
Mumbai,Patna,1453.228,304.82,none,0.85,integrated_meta_nh_radiation
Mumbai,Visakhapatnam,1101.876,498.54,none,0.85,integrated_meta_nh_radiation
Mumbai,Bhopal,661.362,6594.07,none,0.85,integrated_meta_nh_radiation
Mumbai,Guwahati,2086.335,9.64,none,0.85,integrated_meta_nh_radiation
Kolkata,Delhi,1317.754,8444.88,primary,1.15,integrated_meta_nh_radiation
Kolkata,Mumbai,1654.839,881.45,none,0.85,integrated_meta_nh_radiation
Kolkata,Bengaluru,1560.697,941.41,none,0.85,integrated_meta_nh_radiation
Kolkata,Chennai,1358.361,1716.06,none,0.85,integrated_meta_nh_radiation
Kolkata,Hyderabad,1181.882,5930.73,none,0.85,integrated_meta_nh_radiation
Kolkata,Ahmedabad,1618.856,365.49,none,0.85,integrated_meta_nh_radiation
Kolkata,Pune,1575.376,466.23,none,0.85,integrated_meta_nh_radiation
Kolkata,Lucknow,886.984,12786.44,primary,1.15,integrated_meta_nh_radiation
Kolkata,Kochi,1906.416,61.56,none,0.85,integrated_meta_nh_radiation
Kolkata,Jaipur,1357.774,675.4,none,0.85,integrated_meta_nh_radiation
Kolkata,Patna,469.153,82709.27,primary,1.15,integrated_meta_nh_radiation
Kolkata,Visakhapatnam,763.844,7649.95,primary,1.15,integrated_meta_nh_radiation
Kolkata,Bhopal,1123.951,2123.31,none,0.85,integrated_meta_nh_radiation
Kolkata,Guwahati,523.808,15346.07,primary,1.15,integrated_meta_nh_radiation
Bengaluru,Delhi,1750.115,544,trunk,1.35,integrated_meta_nh_radiation
Bengaluru,Mumbai,845.318,19724.11,primary,1.15,integrated_meta_nh_radiation
