source_node_id,target_node_id,haversine_distance_km,raw_daily_travelers,highway_class,matrix_method
Delhi,Mumbai,1153.241,33468.62,trunk,integrated_meta_nh_radiation
Delhi,Kolkata,1317.754,9589.99,primary,integrated_meta_nh_radiation
Delhi,Bengaluru,1750.115,1358.6,trunk,integrated_meta_nh_radiation
Delhi,Chennai,1767.651,967.04,trunk,integrated_meta_nh_radiation
Delhi,Hyderabad,1266.531,6539.01,trunk,integrated_meta_nh_radiation
Delhi,Ahmedabad,777.408,62866.46,trunk,integrated_meta_nh_radiation
Delhi,Pune,1179.482,4989.58,none,integrated_meta_nh_radiation
Delhi,Lucknow,430.84,172341.08,trunk,integrated_meta_nh_radiation
Delhi,Kochi,2089.268,75.84,none,integrated_meta_nh_radiation
Delhi,Jaipur,237.533,290848.25,trunk,integrated_meta_nh_radiation
Delhi,Patna,866.693,22283.07,primary,integrated_meta_nh_radiation
Delhi,Visakhapatnam,1374.63,357.09,none,integrated_meta_nh_radiation
Delhi,Bhopal,606.159,42548.85,trunk,integrated_meta_nh_radiation
Delhi,Guwahati,1471.07,209.32,none,integrated_meta_nh_radiation
Mumbai,Delhi,1153.241,6517.45,trunk,integrated_meta_nh_radiation
Mumbai,Kolkata,1654.839,433.55,none,integrated_meta_nh_radiation
Mumbai,Bengaluru,845.318,13540.53,primary,integrated_meta_nh_radiation
Mumbai,Chennai,1033.099,4243.85,primary,integrated_meta_nh_radiation
Mumbai,Hyderabad,621.463,31570.83,primary,integrated_meta_nh_radiation
Mumbai,Ahmedabad,439.98,68396.36,trunk,integrated_meta_nh_radiation
Mumbai,Pune,120.152,300000,trunk,integrated_meta_nh_radiation
Mumbai,Lucknow,1194.675,443.85,none,integrated_meta_nh_radiation
Mumbai,Kochi,1080.186,1086.6,primary,integrated_meta_nh_radiation
Mumbai,Jaipur,920.742,1869.49,none,integrated_meta_nh_radiation
Mumbai,Patna,1453.228,191.92,none,integrated_meta_nh_radiation
Mumbai,Visakhapatnam,1101.876,313.9,none,integrated_meta_nh_radiation
Mumbai,Bhopal,661.362,4151.82,none,integrated_meta_nh_radiation
Mumbai,Guwahati,2086.335,6.07,none,integrated_meta_nh_radiation
Kolkata,Delhi,1317.754,7193.79,primary,integrated_meta_nh_radiation
Kolkata,Mumbai,1654.839,554.99,none,integrated_meta_nh_radiation
Kolkata,Bengaluru,1560.697,592.74,none,integrated_meta_nh_radiation
Kolkata,Chennai,1358.361,1080.49,none,integrated_meta_nh_radiation
Kolkata,Hyderabad,1181.882,3734.16,none,integrated_meta_nh_radiation
Kolkata,Ahmedabad,1618.856,230.12,none,integrated_meta_nh_radiation
Kolkata,Pune,1575.376,293.55,none,integrated_meta_nh_radiation
Kolkata,Lucknow,886.984,10892.16,primary,integrated_meta_nh_radiation
Kolkata,Kochi,1906.416,38.76,none,integrated_meta_nh_radiation
