"city_name,population,city_id,lat,lon"
"Belagavi,983854,BLG,21.7679,78.8718"
"Bagalkot ,361149,BGK,16.1792,75.6994"
"Vijayapura,408806,VJP,16.8286,75.7141"
"Bidar,319937,BDR,17.91331,77.53011"
"Raichur,363853,RCR,16.2055,77.3557"
"Koppal,264595,KPL,15.3524,76.1557"
"Gadag,219096,GDG,15.4167,75.616"
"Dharwad,382700,DWR,15.4589,75.006"
"Uttara Kannada,324530,UKA,14.794,74.6202"
"Haveri,330414,HVR,14.7948,75.411"
"Ballari,489118,BLR,15.1394,76.9216"
"Chitradurga,357003,CTD,14.23,76.4"
"Davanagere,410176,DVG,14.4644,75.9218"
"Shivamoga,406816,SMG,13.917,75.567"
"Udupi,253078,UDP,13.340881,74.74214"
"Chikkamagaluru,276085,CKM,13.3223,75.774"
"Tumkuru,640081,TMK,13.3414,77.1022"
"Bengaluru urban,2393845,BNG,12.9719,77.5937"
"Mandya,428625,MDY,12.5274502,76.8944862"
"Hassan,433453,HSN,13.0071,76.0962"
"Dakshina Kannada,439733,DKA,12.87,74.88"
"Kodagu,142716,KDG,12.32490039,75.800752"
"Mysuru,700968,MYS,12.3068,76.6483"
"Chamarajanagar,244874,CMR,12.07,76.94"
"Kalaburagi,471601,KLB,17.3297,76.8343"
"Yadgir,202063,YDG,16.7703,77.1322"
"Kolar,333348,KLR,13.13768,78.12999"
"Chikkaballapura,284698,CKB,13.55,77.87"
"Bengalurur rural,229279,BRR,13.2272427,77.574021"
"Ramanagara,260533,RMG,12.7201, 77.2834"
